SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,NumBars,NumBeats,EndOfFadeIn,Energy,Key,Loudness,Mode,NumSections,SegmentsLoudnessMax,SegmentsLoudnessMaxTime,NumSegments,SongHotness,StartOfFadeOut,NumTatums,Track7DigitalID,TrackID
1,b'SOMZWCG12A8C13C480',300848,b'Fear Itself',b'ARD7TVE1187B99BFB1',,b'California - LA',,b'Casual',0,218.93179,1,0.736,92.198,4,0.778,"bI Didn't Mean To""""",0,83,344,0.247,0,1,-11.197,0,10,-6.384,0.24543,971,0.60211999,218.932,688,3401791,b'TRAAAAW128F429D538'
2,b'SOCIWDW12A8C13D406',300822,b'Dimensions',b'ARMJAGH1187FB546F3',35.14968,b'Memphis TN',-90.04892,b'The Box Tops',0,148.03546,6,0.169,121.274,4,0.384,b'Soul Deep',1969,73,296,0.148,0,6,-9.843,0,9,-5.349,0.23274,550,nan,137.915,591,3400270,b'TRAAABD128F429CF47'
3,b'SOXVLOJ12AB0189215',514953,b'Las Numero 1 De La Sonora Santanera',b'ARKRRTF1187B9984DA',,b'',,b'Sonora Santanera',0,177.47546,8,0.643,100.07,1,0,b'Amor De Cabaret',0,291,291,0.282,0,8,-9.689,1,8,-5.564,0.87608,562,nan,172.304,582,5703798,b'TRAAADZ128F9348C2E'
4,b'SONHOTT12A8C13493C',287650,b'Friend Or Foe',b'AR7G5I41187FB4CE6C',,b'London England',,b'Adam Ant',0,233.40363,0,0.751,119.293,4,0,b'Something Girls',1982,115,462,0,0,0,-9.013,1,11,-4.048,0.34385,821,nan,217.124,924,3226795,b'TRAAAEF128F4273421'
5,b'SOFSOCN12A8C143F5D',611336,b'Muertos Vivos',b'ARXR32B1187FB57099',,b'',,b'Gob',0,209.60608,2,0.092,129.738,4,0.562,b'Face the Ashes',2007,110,444,0.066,0,2,-4.501,1,9,-1.615,0.52961,673,0.604500739,198.699,887,6795666,b'TRAAAFD128F92F423A'
6,b'SOYMRWW12A6D4FAB14',41838,b'Ordinary Day',b'ARKFYS91187B98E58F',,b'',,b'Jeff And Sheri Easter',0,267.7024,5,0.635,147.782,3,0.454,b'The Moon And I (Ordinary Day Album Version)',0,210,633,2.264,0,5,-9.323,1,13,-4.782,0.95878,835,nan,254.27,1266,444964,b'TRAAAMO128F1481E7F'
7,b'SOMJBYD12A6D4F8557',25824,b'Da Ghetto Psychic',b'ARD0S291187B9B7BF5',,b'Ohio',,b'Rated R',0,114.78159,1,0,111.787,1,0,b'Keepin It Real (Skit)',0,217,217,0.096,0,1,-17.302,1,4,-8.085,0.31561,481,nan,114.782,434,276593,b'TRAAAMQ128F1460CD3'
8,b'SOHKNRJ12A6701D1F8',8876,b'Gin & Phonic',b'AR10USD1187B99F3F1',,b'Burlington Ontario Canada',,b'Tweeterfriendly Music',0,189.57016,4,0,101.43,3,0.408,b'Drop of Rain',0,103,313,0.319,0,4,-11.642,0,9,-5.152,0.44208,588,nan,181.023,626,90004,b'TRAAAPK128E0786D96'
9,b'SOIAZJW12AB01853F1',358182,b'Pink World',b'AR8ZCNI1187B9A069B',,b'',,b'Planet P Project',0,269.81832,4,0.717,86.643,4,0.487,b'Pink World',1984,93,381,5.3,0,4,-13.496,1,12,-9.947,1.22157,912,0.265861049,258.99,1523,3996579,b'TRAAARJ128F9320760'
10,b'SOUDSGM12AC9618304',692313,b'Superinstrumental',b'ARNTLGG11E2835DDB9',,b'',,b'Clp',0,266.39628,7,0.053,114.041,4,0.878,b'Insatiable (Instrumental Version)',0,124,500,0.084,0,7,-6.697,0,11,-1.601,0.67135,1406,nan,261.747,1000,7684249,b'TRAAAVG12903CFA543'
11,b'SOQHXMF12AB0182363',539081,b'I Need You',b'ARGSJW91187B9B1D6B',35.21962,b'North Carolina',-80.01955,b'JennyAnyKind',0,218.77506,5,0.354,146.765,1,0,b'Young Boy Blues',0,520,520,2.125,0,5,-10.021,0,10,-6.341,0.96008,699,0,207.012,1039,5967937,b'TRAAAVO128F93133D4'
12,b'SOKEJEJ12A8C13E0D0',163874,b'The Way Home',b'ARC43071187B990240',,b'Wisner LA',,b'Wayne Watson',0,245.21098,7,0.07,117.975,4,0.835,b'The Urgency (LP Version)',0,117,473,0.357,0,7,-7.545,1,5,-2.999,0.55388,793,0.265861049,227.48,946,1735859,b'TRAABCL128F4286650'
13,b'SOMUYGI12AB0188633',575792,b'Placer & Castigo',b'ARL7K851187B99ACD2',,b'',,b'Andy Andy',0,226.35057,9,0.205,130.04,4,0,b'La Culpa',0,120,485,0,0,9,-6.632,1,12,-3.014,0.27078,971,0,221.553,971,6381162,b'TRAABDL12903CAABBA'
14,b'SORAMLE12AB017C8B0',815863,b'Arrivederci',b'ARHHO3O1187B989413',,b'',,b'Bob Azzam',0,191.84281,10,0,137.334,1,0.319,b'Auguri Cha Cha',0,434,434,0.38,0,10,-7.75,0,7,-3.119,0.97237,720,0,188.424,869,9014963,b'TRAABJL12903CDCF1A'
15,b'SOBONFF12A6D4F84D8',25811,b'Dancing On The Ceiling',b'ARIK43K1187B9AE54C',,b'Beverly Hills CA',,b'Lionel Richie',0,307.3824,3,0.524,125.197,3,0.211,b'Tonight Will Be Alright',1986,212,637,0.612,0,3,-8.346,1,13,-4.044,0.53453,1063,nan,296.658,1275,276438,b'TRAABJV128F1460C49'
16,b'SOHUOAP12A8AE488E9',135122,b'Outskirts',b'ARD842G1187B997376',43.64856,b'Toronto Ontario Canada',-79.38533,b'Blue Rodeo',0,491.12771,7,1,119.826,4,0.756,b'Floating',1987,246,990,0,0,7,-8.576,1,17,-2.494,0.89832,1628,0.405115722,486.034,1981,1399936,b'TRAABLR128F423B7E3'
