artist_id;artist_name;artist_popularity;followers;genres
"4dpARuHxo51G3z768sgnrY";"Adele";88;7475958;["dance pop","pop","post-teen pop"]
"6eUKZXaKkcviH0Ku9w2n3V";"Ed Sheeran";99;14412893;["pop"]
"1uNFoZAHBGtllmzznpCI3s";"Justin Bieber";97;15087120;["canadian pop","dance pop","pop","pop christmas","post-teen pop"]
"1g0fXhQMHAxlRyIBkCbuE7";"Matt Simons";68;103777;["singer-songwriter"]
"60df5JBRRPcnSpsIMxxwQm";"Otis Redding";74;772569;["brill building pop","chicago soul","christmas","classic funk rock","classic rock","folk rock","funk","jazz blues","mellow gold","memphis soul","motown","quiet storm","soul","soul blues","soul christmas","southern soul"]
"4gzpq5DPGxSnKTe4SA8HAU";"Coldplay";93;9178348;["permanent wave","pop","pop christmas"]
"1GxkXlMwML1oSg5eLPiAz3";"Michael Bublé";88;2267652;["adult standards","canadian pop","lounge","neo mellow","pop","pop christmas"]
"2wY79sveU1sp5g7SokKOiI";"Sam Smith";97;4265675;["dance pop","pop"]
"4phGZZrJZRo4ElhRtViYdl";"Jason Mraz";81;2043112;["acoustic pop","folk-pop","neo mellow","pop","pop christmas","pop rock","singer-songwriter","viral pop"]
"37NqXwtb6nIEqRt4EJSoIO";"Duffy";64;332226;["dance pop","folk-pop","neo mellow","pop"]
"2ysnwxxNtSgbb9t1m2Ur4j";"George Ezra";75;787938;["folk-pop","indie folk","neo mellow","neo-singer-songwriter","pop"]
"25u4wHJWxCA9vO0CzxAbK7";"Lukas Graham";77;868085;["pop"]
"5y2Xq6xcjJb2jVM54GHK3t";"John Legend";85;2666614;["indie r&b","neo mellow","neo soul","pop","pop christmas","pop rap","r&b","soul christmas","urban contemporary"]
"2Kx7MNY7cI1ENniW7vT30N";"Norah Jones";78;1281567;["adult standards","folk christmas","folk-pop","neo mellow","pop christmas","pop rock","singer-songwriter"]
"3GBPw9NK25X1Wt2OUvOwY3";"Jack Johnson";83;1800537;["neo mellow","pop rock"]
"3DiDSECUqqY1AuBP8qtaIa";"Alicia Keys";82;2878641;["hip pop","indie r&b","neo mellow","pop","pop christmas","pop rap","post-teen pop","r&b","urban contemporary"]
"0uGApGjjFXKwUOAqYBeX7B";"Deepend";70;8231;["deep house","tropical house"]
"11kBu957KTYoAltZHDm8gW";"Buena Vista Social Club";67;408317;["latin jazz","world"]
"6zFYqv1mOsgBRQbae3JJ9e";"Billy Joel";79;834597;["adult standards","album rock","classic rock","folk rock","mellow gold","neo mellow","piano rock","pop rock","rock","singer-songwriter","soft rock"]
