album_name;album_id;artist_names;artist_ids;available_markets;track_id;track_isrc_id;track_name;track_number;disc_number;explicit;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;duration_ms;time_signature
"x (Deluxe Edition)";"1xn54DMo2qIqBuMqHtUsFd";["Ed Sheeran"];["6eUKZXaKkcviH0Ku9w2n3V"];["AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IT","JP","LT","LU","LV","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"34gCuhDGsG4bRPIf9bb02f";"GBAHS1400099";"Thinking Out Loud";11;1;false;85;0.781;0.445;2;-6.061;1;0.0295;0.474;0;0.184;0.591;281560;4
"Love In The Future";"4OTAx9un4e6NfoHuVRiOrC";["John Legend"];["5y2Xq6xcjJb2jVM54GHK3t"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"3U4isOIWM3VvDubwSI3y7a";"USSM11303954";"All of Me";6;1;false;83;0.422;0.264;8;-7.064;1;0.0322;0.922;0;0.132;0.331;269560;4
"In The Lonely Hour (Drowning Shadows Edition)";"0kJbDT8VGMScK8YDzNNvzV";["Sam Smith"];["2wY79sveU1sp5g7SokKOiI"];["AD","AR","AT","AU","BE","BG","BO","BR","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","UY","VN"];"62NVyyEBiRxGae3SeB97nl";"GBUM71308833";"Stay With Me";3;1;false;69;0.453;0.441;0;-6.275;1;0.0435;0.521;0.000135;0.106;0.184;172724;4
"Come Away With Me";"1JvoMzqg04nC29gam4Qaiq";["Norah Jones"];["2Kx7MNY7cI1ENniW7vT30N"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"6ybViy2qrO9sIi41EgRJgx";"USBN20100529";"Don't Know Why";1;1;false;72;0.732;0.198;5;-11.775;1;0.028;0.883;0.000011;0.0659;0.618;186147;4
"Dock Of The Bay";"0kSkzG0sfuG4lRuFF5jWVr";["Otis Redding"];["60df5JBRRPcnSpsIMxxwQm"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"4Y4Gd3ty8uut6Qw43c7yJc";"USAT29900865";"(Sittin' On) The Dock Of The Bay";1;1;false;63;0.486;0.312;2;-13.522;1;0.0533;0.726;0.00000159;0.0601;0.598;166827;4
"Purpose (Deluxe)";"7fZH0aUAjY3ay25obOUf2a";["Justin Bieber"];["1uNFoZAHBGtllmzznpCI3s"];["AD","AR","AT","AU","BE","BG","BO","BR","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SK","SV","TH","TR","TW","UY","VN"];"3hB5DgAiMAQ4DzYbsMq1IT";"USUM71516761";"Love Yourself";5;1;false;80;0.609;0.378;4;-9.828;1;0.438;0.835;0;0.28;0.515;233720;4
"19";"2YO1F9DHVEzXPriA1JHoOQ";["Adele"];["4dpARuHxo51G3z768sgnrY"];["AD","AT","AU","BE","BG","CA","CH","CY","CZ","DE","DK","EE","ES","FI","FR","GB","GR","HK","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MY","NL","NO","NZ","PH","PL","PT","SE","SG","SK","TH","TR","TW","VN"];"0mqTcM8kuu2IYPotMt7AzS";"GBBKS0700586";"Make You Feel My Love";9;1;false;75;0.552;0.173;10;-10.576;1;0.0292;0.907;0.000401;0.105;0.0854;212040;1
"Feels Like Home";"7GaAXgbFSpcJOiLlFGYyOL";["Norah Jones"];["2Kx7MNY7cI1ENniW7vT30N"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"7zkLpY72g6lKQbiHDqri1S";"USBN20300893";"Sunrise";1;1;false;68;0.526;0.299;8;-13.797;1;0.031;0.941;0.097;0.106;0.679;200627;4
"Call Me Irresponsible (Standard Edition)";"3h4pyWRJIB9ZyRKXChbX22";["Michael Bublé"];["1GxkXlMwML1oSg5eLPiAz3"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"4T6HLdP6OcAtqC6tGnQelG";"USRE10700317";"Everything";9;1;false;72;0.686;0.688;6;-4.981;0;0.0254;0.39;0.00000103;0.0924;0.493;212373;4
"Ghost Stories";"2G4AUqfwxcV1UdQjm2ouYr";["Coldplay"];["4gzpq5DPGxSnKTe4SA8HAU"];["AD","AR","AT","AU","BE","BG","BO","BR","CA","CH","CL","CO","CR","CY","CZ","DE","DK","DO","EC","EE","ES","FI","FR","GB","GR","GT","HK","HN","HU","ID","IE","IS","IT","JP","LI","LT","LU","LV","MC","MT","MX","MY","NI","NL","NO","NZ","PA","PE","PH","PL","PT","PY","SE","SG","SK","SV","TH","TR","TW","US","UY","VN"];"23khhseCLQqVMCIT1WMAns";"GBAYE1400206";"Magic";2;1;false;73;0.738;0.483;6;-8.915;0;0.0403;0.0262;0.616;0.106;0.355;285014;4
