id;followers;name;owner;trackIds
"4xPHXrvGXTgw7BuhI14yqT";null;null;null;[]
"3bGlMDI6hcVMbkbSofSXZO";0;"rainy mornings";"mchiang123";["6Ej6WtjqLbro72mF4Y1Xdb","2murM3wAmHXaTDgTanhcwq"]
"6q6DM4NHRdZxCvLIet51A8";0;"chill dance";"mchiang123";["7Lb6NzZY3H4NT73qlEznEk","5GUvXUx0GbyBKO2f8yQxFn","6S8mOIqF6a5mJjANwmBGSX","0xBTRJ7CxM1w7F4nbGm07T","5mCPDVBb16L4XQwDdbRUpz","24DZNq3FuQkF9j0wJGi9Zn","2SqXhFOHbUJ8Opj0poEDGV","3GmdPNBnVUtiTnU3i1idfq","4gGFxAgijfHwOf6sRbT0Tc","2LgEYzVoSKp6fsST6trUh2","152lZdxL1OR0ZMW6KquMif","3kxfsdsCpFgN412fpnW85Y","7kty80M5em0GzhtraLTwEJ","2Nv52rWLPoRebtWMQ362w6"]
"7v7MGgV5oBZ3pVvCgEeHmK";0;"choreographing";"mchiang123";["44UZDF8UJuzh8ChtDa1gqy","29bGodakyOzmX8SB6bLVcl","132NONZY8HZ0h8GffR3i2w","5EXD5rXJ4IVb8g4xSwT0fc","2zIkPM6r0yEjWt18qG3jP3","2o2FHof8e1T6ScoZHNilhO","2o2FHof8e1T6ScoZHNilhO","0sLRImHBotyhgRBg0bUASC","6vITeWEgr2cHrxRIkPr5hB","1JcZxSjLTN3TFQ6zDcrHsu","0lWvcq3Zrms58nKWwzcwIy","0nwhrR95eXSxXEwt1xgAbM","47ZKrqlmvLT1QnlYpVe8hz","1wB3YUt6I6C0pp8Gawhy1b","3griMd2FSimhnvHWOveakD","54CsNOH7qd8fcVmdeAvaGG","1GyCVuvJjRw82Rk5rHkSzb","5h9UKsDD3E02hh3pxk7Rlm","49gWRs13smbgMgIaDvprp2","5KJWVwTgRUSsqNUHQ8VknB","6jHiCUth2ZisRyczv3Jrzr","5jBGI01km1Rt8gqBKVCU7R","3x233Gqbqy4CRMYw4ukNhd","3xy8karhdpkltgdwj9FGbQ","3tK5xYY3jBHY27EDHCnnda","3nS6zA7laKRAvnpFi7Gu9g","1OklZefA3QDQIocxzTbpRQ","5pJPgy2jGvvNUNfHPvG3Zp"]
"3cUTQhw2uGaTp0T4j7KDTy";null;null;null;[]
"0wJUWKMjHFvIfXBMyn112N";null;null;null;[]
"4atbSHavv445wtwvBhpwNV";null;null;null;[]
"1pUudrDFrCfQEtuInS0QPc";0;"work";"mchiang123";["10arMr7YVORSWkQeltmwjv","2QQzDIyZvWduhYqQijxnRO","3u6izvb36vcVaJXHwkDd39","6eN9eLfX4XaVcHwDCbcMve","20MeA7m0R7cfYUm9TJ42qj","6NoMxUxobBaOlJs1SlVCMz","0ttGekhJiRgUntY34isdm9","56nT11lwUl5gpI8IFKKX7H","4mjxwwtBde42INvA6NMQAG","43eSdLibmTPIph1hHWo3Eh","4wv1q7H1eMpTHZ571Q8E1R","5Anh8jULgeUgciLHCR25Mk","2vJNqT9C9BHEuCSpWRcVns","0Wl7V3V9Rovxm8968zt9OX","55wG6s4GPb6MGpDtZNUzyD","5GQAHsTo4DI71QLAXUo3DV","6ybFLxSoOeRBUac0FkvRMl","5bkeHKA0sF54YvLCmFnluH","0WjoNaTNRsxOZ9B54lUphH","601APFWhthzBSUasaJe2CW","3CRtupkqmrMfZoixRVXK8N","3d0idY4xKsPSn0MUI6KYvy","4bW1EAnsS22bviZ0ijkhwN","4288bHzkYGmDpvrp321rWE","2nBuzNzCqTjav7KbkTVLNo","6i3vgK9vmezMJEArKk2aJu","2rXO7Acwkd3XwEv3ksyG17","3cruv55bS5xTkXzVO0kwHg","5SejjhrATMgb2UidtEpYjM","2j81ifr1RdIgkAZa0gnmpe","2RfWiWPnb5xCIZcAB74nzJ","63DiImCcNvTjsUjuB7NUFN"]
"6zwCbTxUcu81OKJayqkzB6";0;"my jam (and peanut butter)";"mchiang123";["70TMN0avBv3acen5xHfjdw","1aj4GXfmEYXfdVZohCpNKu","2OawRn0NvWkStuemgdae4i","3ZpLWKaW86mnRllj07WFcJ","300RfAPZ57B0y6YYj9n6DN","5XzmZjXhMjDHr7ZfJ6DELQ","6zZmwY5qasaw7QtobXKpZs","5RdAQuWsiQm3rCgEjvXiQB","755gQFe8AygwKePVjrMDoj","0qRZ9ydGdzeVk3S01pLGoJ","4OAsegq7toBfVuDz6LVitz","5yjG496AFdiaoKpfr7vuL9","7CBJgixoDld8SnCAjFpBUp","5yz8vftLuJ7uwgoomFR1rE","6fHJPzOgBgmvJEYefYJUcr","0bKeNKTmH05yYQpBIFo2N4","5HqbdJDJ58ZYs2BgBHHpTh","63bo7NDoWdMFXufhsYOxwG","0MtMx5gt6kM2W7tD26Jp5H","5Ekgmg2w65Ub9iedMngnyC","1swBbmObedDgE1OoyCUDVH","7viB8hBRR0lC5fWDpGd6uA","5QKolgb84zxXPGfv6jNDMT","0Nq60cX5Z5A9TsGS8hBdQz","4kDjkFIzZK3MG97Y1yQ3Nm","4sQmFfRUp7CVPTukLoSntQ","3ChZ1DsvihNTayyK6BbfEC","1ZUTF5BOTyyhQZyZvoZeCc","47hGj4XTeK0bjo4Ko42K1g","3bT3taTJUOuj7iFfB8mMIK","6jCg9stTys6WY4ujChUCes","7FXj7Qg3YorUxdrzvrcY25","20MeA7m0R7cfYUm9TJ42qj","2OmYBoVZ9jAsFmXYtLKjvK","5WDgFY9IOyW98fVCdXVvXy","6NoMxUxobBaOlJs1SlVCMz","7rJ0nyCBtKV5C31oXcYYsi","6qeQjerhxrlyj0c3yuE4K7","3jSYHMLEH3MHhSRYy9ywRV","4ZdG8OyIV7WfjBReUNLQl0","2vgZSXt1KmekJICQbNZH4H","5AcdaSVQfLcUKMaqchfBie","7Fu8J4ddQBl9zf1tUbXrMc","08LgfuJ0qSs8xaKNU9mNGX","1pEnNKo7vvmcw7XL5Nwaib","1RMVgmV8a5WohvIkPSnGtL","75E8tzhIzUjlK6Rw7Dnefk","3HTfcosyT1xYaAQVdfsU82","0l4tZquzNX3KM43B6iHY76","6TeQRVEFujgz57KQmrM6Sb","0Wl7V3V9Rovxm8968zt9OX","2DRRqTwjFnYIijPt3iT17y","19e0p92GeOyJdU8fK0UK2J","2tg3T3T7imjmKiiRpmN8CS","1rG6DktXGTvok4AWzA3Lpv","58CrldAc1Z5WIBozT1NMJH","3xy8karhdpkltgdwj9FGbQ","1EzrEOXmMH3G43AXT1y7pA","2iuZJX9X9P0GKaE93xcPjk","1gXBi2I04CLJkTQnhNfEJT","0cggvsr6eQyfOfEuwqu3nm","4waa4UbOuiPnAKM1Gp6eSc","0ObmUtbDIm8AZfu5h5H0B4","6ybFLxSoOeRBUac0FkvRMl","5UwzXsSIyYXTYScJkx3snT","5aSpdEubSdMnRNevctb55H","2DvonT751gQIRikzKDDGId","5pLjOLnVVOVK6uvHmhBz8f","6a7r59c8dJa22UOfrB8cTJ","3bjTdIgOAsRQTveRuGmgla","5o0yZH55eAwvRDK3EtgRoi","5uCax9HTNlzGybIStD3vDh","3GfLzywksBUoQJEbhsXZ0O","4ViElQuRwSp33VmXzPURf7","4mCiPQpGy3Dqfhim6GfTQO","7cPglGvAJ6NsjBYjxepwwI","2WuvjorcMF2BXBQDfgXSM3","5EXD5rXJ4IVb8g4xSwT0fc","0wMWcHPDqCeHzIVFkw8s2F","6ofjouKeuPzsKnzohDGkZS","5LZQ5s0kRZS9nBSd1xLK7U","1Lc9TuAqvVrwVf5ZnSkGnz","2giy3XGUuaoghtcofWUBYe","45BdLha8TjQ1DdjS1MBXcd","45BdLha8TjQ1DdjS1MBXcd","1vLucBhwC41Yo4cqDT1yAG","2sIz1iTqyVX8NAUkkUN258","2sIz1iTqyVX8NAUkkUN258","2zIkPM6r0yEjWt18qG3jP3","2o2FHof8e1T6ScoZHNilhO","2o2FHof8e1T6ScoZHNilhO","0sLRImHBotyhgRBg0bUASC","6vITeWEgr2cHrxRIkPr5hB","07l6dBNEcArYKT1huIzCmV","1TPLsNVlofwX1txcE9gZZF","0KQXI0M9Xt0mPMc5cFK896","4gGFxAgijfHwOf6sRbT0Tc","5ln5yQdUywVbf8HhFsOcd6"]
"0AuHgoy9RrrlRUNuQPm1GA";0;"faves ";"mchiang123";["28pEAbNXSoUdEcx5FUCFbS","3LSna6W1dRf2QbsUgmRoFf","3w0HBuCrUONIbIsTQawsmW","3bT3taTJUOuj7iFfB8mMIK","7ts0cV2JhfY3rHU6SylMRI","2NFYkgjUiiKgplnB7tgjoe","7rJ0nyCBtKV5C31oXcYYsi","6TQXf7qIIyj7jzA0DeP6uM","5Mw9bXG1dLNhbjofkVS2oR","6pVNIjF6BdgZP0VvxWuq8P","4ghNnSBgWAUgQAn61z0Ogf","3EVY5Vm5vjPpUjRQEcpsPE","539c2itqsvh49sdfyibjcj","5yz8vftLuJ7uwgoomFR1rE","4sQmFfRUp7CVPTukLoSntQ","5XTDaT73vZPklgsJKgvWGY","2LmOK6ksItGzrZMlq6FZbv","5yjG496AFdiaoKpfr7vuL9","4ZdG8OyIV7WfjBReUNLQl0","1UvCutaaMRZd9sZJEviLwL","4OAsegq7toBfVuDz6LVitz","1T2iBTY4Aiz6Yd8CEFLA9A","3Uo9G4ggLznx636wgSI8Te","5RdAQuWsiQm3rCgEjvXiQB","0qRZ9ydGdzeVk3S01pLGoJ","1hoy8zEQN4l8p57NM2h1Xe","35WuqC0pMixNnnljOx1wjc","3SdTKo2uVsxFblQjpScoHy","6zZmwY5qasaw7QtobXKpZs","7FXj7Qg3YorUxdrzvrcY25","2OmYBoVZ9jAsFmXYtLKjvK","7CBJgixoDld8SnCAjFpBUp","2BuhGnXpqMQ8BvOUZpmaVl","5t0izTLPeWYLiIfHPJbORJ","2RfWiWPnb5xCIZcAB74nzJ","3YgAl9Bg69kYCGCa4ACGB2","0Wl7V3V9Rovxm8968zt9OX","3YPchhrSmcwMHl41aToYG1","6gVkG8f7ldsQs0jAI8cB4X","01dPxcBaWnKbIRbgdVESs9","58CrldAc1Z5WIBozT1NMJH","1EzrEOXmMH3G43AXT1y7pA","2DvonT751gQIRikzKDDGId","5uCax9HTNlzGybIStD3vDh","0w6WbkmYuHh6Rx14GzxU0A","1Lc9TuAqvVrwVf5ZnSkGnz","63DiImCcNvTjsUjuB7NUFN","7GU4Lq1mCSMdOuJ5agAo2Z","6Ej6WtjqLbro72mF4Y1Xdb","4gGFxAgijfHwOf6sRbT0Tc"]
