artist_id;artist_name;artist_popularity;followers;genres
"6eoJpTIlcuxJNjV5fDzDJH";"Live";65;213686;"[""alternative metal"",""alternative rock"",""pop rock"",""post-grunge"",""rock""]"
"4lIgSGJ12UAQOpof0PvG4l";"Quint Starkie";28;433;"[]"
"6pAwHPeExeUbMd5w7Iny6D2FLuSdKX8stEANuhnSVaq0";;;;
"7xtlNrmdLZS2sqIkgWewi1";"Odessa";48;26314;"[]"
"54l5FjSx6OSPe2Qv9g4LjQ4KRGjXEJ1yed7F3ALFOAEO";;;;
"5InkwkIvy3GThYC2EBLg7s";"Spark!";34;2688;"[""ebm"",""electro-industrial""]"
"6vbY3hOaCAhC7VjucswgdS";"Twista";70;272058;"[""crunk"",""dance pop"",""dirty south rap"",""gangster rap"",""hip hop"",""hip pop"",""pop rap"",""r&b"",""rap"",""trap music""]"
"6MDME20pz9RveH9rEXvrOM3Isy6kedDrgPYoTS1dazA91zNqDE7qDGCsyzJwohVaoX";;;;
"4ITkzAQWPILwWpEWJxHB9g";"Earth Crisis";37;13158;"[""christian hardcore"",""crossover thrash"",""hardcore"",""mathcore"",""melodic hardcore"",""metalcore"",""rap metal"",""straight edge"",""vegan straight edge""]"
"1ybINI1qPiFbwDXamRtwxD3aQeKQSyrW4qWr35idm0cy";;;;
"45Ky007Gg9plnSyTZT1E7n";"Amy Schumer";47;42669;"[""comedy"",""comic"",""deep comedy""]"
"5wam12nGWDBIrLDV78TNSF";"Artie Shaw";52;20891;"[""adult standards"",""bebop"",""big band"",""cabaret"",""christmas"",""easy listening"",""jazz blues"",""jazz christmas"",""lounge"",""new orleans jazz"",""stride"",""swing"",""vocal jazz""]"
"1I9Hqy4QnMyVhZwRM2r41B6lM6rCctpuMEtpFTGaQbAM";;;;
"4uKt0y4zMxjivxkjDsT3gl";"William Ryan Fritch";41;4019;"[""compositional ambient"",""focus""]"
"6XJ5IHDtW2OkjtwVllkANt";"Shaun Cassidy";34;5365;"[""bubblegum pop""]"
"6s1pCNXcbdtQJlsnM1hRIA191itj3ftkA10y6RmdfubC";;;;
"2hgP9Ap2tc10R5jrQaEpMT";"Charles Aznavour";64;154926;"[""adult standards"",""cabaret"",""chanson"",""world christmas""]"
"20W2gIlZtawVw7VOkFgFbX";"The Young Folk";31;4951;"[]"
"6SJnjpekgnONgNtxKeMP8m6zL4UbVtrGZPjvTTeNKyAc6lITXT7V1VIC7nwlgh8ycO5ncNJNBW6jRC3xnY7ZSzLj";;;;
"6hL8IlB7tKuRiqChLyEJGr";"HOFFMAESTRO";53;114624;"[""swedish alternative rock"",""swedish hip hop"",""swedish idol pop"",""swedish indie rock"",""swedish pop"",""swedish reggae""]"
"4BGsgZetF1liZkRTJmxsE6";"Spires";29;849;"[]"
"6GITfMIrVfWsONfH6fQkD7";"Sean Cullen";21;390;"[""comic"",""deep comedy""]"
"19HFRWmRCl27kTk6LeqAO80YwZx5vGf17WMCi6KdOt4U";;;;
"4zYmn9QW7Fzd7DzJsK9LyT";"Against All Authority";42;9800;"[""crack rock steady"",""folk punk"",""hardcore punk"",""melodic hardcore"",""punk"",""ska"",""ska punk"",""skate punk""]"
"70Gpyqn6tXJPvWRZMmFpF6";"Marcel Duchamp";6;402;"[]"
"1NpKmfDYMhw1KJIIUCsX4O";"Mija";48;27043;"[""brostep"",""electronic trap""]"
"7pQXfjCzKMCrcQnp9TAn3z";"The Westerlies";34;1354;"[]"
