id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;duration_ms;time_signature
4V5lOCrpJfNDcYDO6i3S2F;0.579;0.599;6;-12.041;0;0.806;0.703;0.00623;0.422;0.225;265797;3
3gKk0KYBayVp07RmlXOT6e;0.611;0.913;2;-5.241;1;0.0383;0.0228;0.678;0.154;0.736;162853;4
6rOt8oPfDvBVlNnqSyKnnZ;0.592;0.109;2;-11.428;0;0.0322;0.983;0.000113;0.0938;0.0905;272967;4
632rEUly1PVmwnmRj1ZmeR;0.615;0.793;5;-10.21;1;0.958;0.831;0.00000111;0.669;0.579;115760;3
7JpewU9FPkJyiOi0CErkpI;0.762;0.839;9;-4.676;1;0.307;0.21;0;0.275;0.197;214903;4
0iHqFwZn8z4HvbjHJctOua;0.758;0.53;1;-8.894;0;0.123;0.0515;0.000587;0.0993;0.535;248042;4
1YwNlWLf8auhazSQUDQLFU;0.641;0.812;0;-7.945;0;0.0293;0.155;0.0000443;0.078;0.822;257333;4
3p0EVh31JzLNvCQNyvs1KT;0.704;0.192;2;-24.827;1;0.94;0.296;0;0.285;0.271;1176960;3
0kiNYgWF4KPzjSTUqbpKj2;0.949;0.42;1;-7.403;1;0.213;0.0028;0.42;0.0329;0.193;179077;4
1InYdvd5SuL0pvupsM7MJI;0.647;0.569;1;-9.129;0;0.0415;0.0494;0.157;0.106;0.735;210813;4
1guL1CfQn915L6Pdf0nDLx;0.432;0.965;3;-3.253;1;0.0837;0.0123;0;0.0605;0.68;208505;4
0CZWKUPEcH2lPllz3yWTRp;0.59;0.282;6;-15.159;0;0.941;0.00734;0.00000105;0.286;0.143;321040;3
64or0cWQwoPDdLRYXjvJbG;0.545;0.942;11;-4.537;1;0.0551;0.0181;0.00469;0.286;0.282;283507;4
7MetQ6U0T0czvoOGZWdfme;0.696;0.12;7;-25.336;1;0.282;0.919;0.00000289;0.264;0.359;69787;4
7uWiizmTj8OHWNDxsKp5yL;0.825;0.618;11;-9.565;0;0.077;0.0721;0.0432;0.319;0.842;289787;4
2iMRkpZz0nxGAGHIsUE351;0.697;0.225;10;-11.068;1;0.0449;0.913;0.193;0.124;0.487;190244;4
4So4XZqP26abFAvZIuYn5H;0.593;0.429;8;-23.109;1;0.85;0.668;0;0.168;0.301;37827;5
3FvreiYbb9lHoCuE0LGRI7;0.614;0.217;7;-22.546;1;0.934;0.602;0;0.701;0.332;1513755;4
2CSnF2PusRvto5TKPsGACZ;0.457;0.307;5;-20.296;1;0.199;0.8;0.00316;0.91;0.499;508234;4
2rK5aTaCfPoSX0TqAW5YgV;0.336;0.0331;6;-26.416;1;0.042;0.994;0.936;0.0892;0.0599;131280;4
6Pc4JvB3Lz4HnfxgAe5bKR;0.32;0.0244;1;-27.769;0;0.0458;0.986;0.0265;0.0865;0.109;125693;3
0iI8JdNhkVDmUo7TSP388d;0.407;0.913;4;-5.728;0;0.147;0.0636;0.65;0.0763;0.758;313427;3
6MfszvDoPCpIWV9fZ3sM1z;0.72;0.978;11;-3.286;0;0.0616;0.00648;0.0565;0.301;0.088;197174;4
7gXWx5DBR5MfsFBzPm9zSS;0.215;0.245;7;-14.514;0;0.0426;0.993;0.892;0.109;0.0397;539533;3
4lx9Wll7UePXGkUs6WhLvG;0.522;0.875;8;-2.344;1;0.044;0.126;0;0.45;0.586;310233;3
4tD3N8DxePEhUz1Bb4IL3V;0.427;0.919;9;-4.121;1;0.0601;0.195;0.00368;0.0886;0.385;225773;4
3MBTfpisDSqEYZ9CIRuLi3;0.823;0.604;3;-9.051;0;0.405;0.167;0;0.0853;0.399;240000;4
